seconds, time, density, practical_salinity, seawater_temperature
3745671591.99, 16:19:51, 1034.769984, 34.516121, 2.435240
3745671593.00, 16:19:53, 1034.769907, 34.516066, 2.435294
3745671594.01, 16:19:54, 1034.770089, 34.516246, 2.435186
3745671595.03, 16:19:55, 1034.770032, 34.516157, 2.435079
3745671596.04, 16:19:56, 1034.770090, 34.516246, 2.435186
3745671597.05, 16:19:57, 1034.770061, 34.516175, 2.435186
3745671598.06, 16:19:58, 1034.769981, 34.516099, 2.435133
3745671599.08, 16:19:59, 1034.770084, 34.516214, 2.435025
3745671600.09, 16:20:00, 1034.770086, 34.516224, 2.435079
3745671601.10, 16:20:01, 1034.770111, 34.516211, 2.435025
3745671602.11, 16:20:02, 1034.770033, 34.516156, 2.435079
3745671603.13, 16:20:03, 1034.770008, 34.516107, 2.435186
3745671604.14, 16:20:04, 1034.770110, 34.516211, 2.435025
3745671605.15, 16:20:05, 1034.770083, 34.516203, 2.434971
3745671606.16, 16:20:06, 1034.770160, 34.516257, 2.434917
3745671607.18, 16:20:07, 1034.770032, 34.516146, 2.435025
3745671608.19, 16:20:08, 1034.770240, 34.516386, 2.434863
3745671609.20, 16:20:09, 1034.770394, 34.516547, 2.434648
3745671610.21, 16:20:10, 1034.770396, 34.516558, 2.434701
3745671611.23, 16:20:11, 1034.770315, 34.516429, 2.434755
3745671612.24, 16:20:12, 1034.770419, 34.516544, 2.434648
3745671613.25, 16:20:13, 1034.770315, 34.516429, 2.434755
3745671614.27, 16:20:14, 1034.770261, 34.516361, 2.434755
3745671615.28, 16:20:15, 1034.770211, 34.516315, 2.434863
3745671616.29, 16:20:16, 1034.770241, 34.516396, 2.434917
3745671617.30, 16:20:17, 1034.770289, 34.516380, 2.434863
3745671618.32, 16:20:18, 1034.770263, 34.516372, 2.434809
3745671619.33, 16:20:19, 1034.770109, 34.516211, 2.435025
3745671620.34, 16:20:20, 1034.769955, 34.516050, 2.435240
3745671621.35, 16:20:21, 1034.770114, 34.516243, 2.435186
3745671622.37, 16:20:22, 1034.769980, 34.516099, 2.435133
3745671623.38, 16:20:23, 1034.769928, 34.516042, 2.435186
3745671624.39, 16:20:24, 1034.770164, 34.516290, 2.435079
3745671625.40, 16:20:25, 1034.770134, 34.516261, 2.434917
3745671626.42, 16:20:26, 1034.770186, 34.516265, 2.434971
3745671627.43, 16:20:27, 1034.770004, 34.516086, 2.435079
3745671628.44, 16:20:28, 1034.770032, 34.516157, 2.435079
3745671629.46, 16:20:29, 1034.770242, 34.516344, 2.435025
3745671630.47, 16:20:30, 1034.770138, 34.516282, 2.435025
3745671631.48, 16:20:31, 1034.770064, 34.516249, 2.435186
3745671632.49, 16:20:32, 1034.770038, 34.516189, 2.435240
3745671633.51, 16:20:33, 1034.770009, 34.516118, 2.435240
3745671634.52, 16:20:34, 1034.769984, 34.516121, 2.435240
3745671635.53, 16:20:35, 1034.770194, 34.516371, 2.435133
3745671636.54, 16:20:36, 1034.770113, 34.516232, 2.435133
3745671637.56, 16:20:37, 1034.770218, 34.516357, 2.435079
3745671638.57, 16:20:38, 1034.769984, 34.516121, 2.435240
3745671639.58, 16:20:39, 1034.769878, 34.515943, 2.435402
3745671640.59, 16:20:40, 1034.769985, 34.516131, 2.435294
3745671641.60, 16:20:41, 1034.769955, 34.516050, 2.435240
3745671642.62, 16:20:42, 1034.770059, 34.516164, 2.435133
3745671643.63, 16:20:43, 1034.770004, 34.516086, 2.435079
3745671644.64, 16:20:44, 1034.770056, 34.516143, 2.435025
3745671645.66, 16:20:45, 1034.770217, 34.516347, 2.435025
3745671646.67, 16:20:46, 1034.770113, 34.516232, 2.435133
3745671647.68, 16:20:47, 1034.770038, 34.516189, 2.435240
3745671648.70, 16:20:48, 1034.770011, 34.516128, 2.435294
3745671649.70, 16:20:49, 1034.770040, 34.516199, 2.435294
3745671650.72, 16:20:50, 1034.770064, 34.516185, 2.435240
3745671651.73, 16:20:51, 1034.769960, 34.516071, 2.435348
3745671652.74, 16:20:52, 1034.770090, 34.516193, 2.435294
3745671653.76, 16:20:53, 1034.770096, 34.516289, 2.435402
3745671654.77, 16:20:54, 1034.769987, 34.516089, 2.435456
3745671655.78, 16:20:55, 1034.769909, 34.516024, 2.435456
3745671656.79, 16:20:56, 1034.769804, 34.515910, 2.435564
3745671657.81, 16:20:57, 1034.769963, 34.516103, 2.435510
3745671658.82, 16:20:58, 1034.770147, 34.516346, 2.435348
3745671659.83, 16:20:59, 1034.770222, 34.516390, 2.435240
3745671660.85, 16:21:00, 1034.770169, 34.516321, 2.435240
3745671661.86, 16:21:01, 1034.770118, 34.516264, 2.435294
3745671662.87, 16:21:02, 1034.770041, 34.516210, 2.435348
3745671663.88, 16:21:03, 1034.770068, 34.516217, 2.435402
3745671664.90, 16:21:04, 1034.770122, 34.516285, 2.435402
3745671665.91, 16:21:05, 1034.770120, 34.516275, 2.435348
3745671666.92, 16:21:06, 1034.770223, 34.516389, 2.435240
